position,feature,paper_feature_family,unary_or_pairwise,raw_or_temporal_summary,causal_status,required_track_history,validity_or_missingness_field,included_full_132,included_reduced_52,selection_rationale,meaning,normalization,expected_range,status,implementation_source,implementation_source_sha256
13,F18,pair interaction,pair-context,raw/current,causal/trailing-only,current sample,context_absent,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",distance to context actor selected by current IoU then relative speed,log1p normalized by target diagonal and quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
15,track_age,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",causal count of observations for the current track,count,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
16,spawn_burst,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",count of nearby tracks of age at most two passing causal motion criteria,clip count at 15,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
17,bbox_w_norm,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",current box width divided by image width,clip,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
18,bbox_h_norm,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",current box height divided by image height,clip,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
23,horizon_small_unreliable,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",small box with F17 at least 0.50,binary,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
24,bbox_center_jitter,motion,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",current-to-previous center displacement divided by current diagonal,nonnegative ratio,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
25,bbox_scale_jitter,shape variation,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",absolute log current-to-previous diagonal ratio,absolute log ratio,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
26,bbox_aspect_jitter,shape variation,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",absolute log current-to-previous aspect ratio,absolute log ratio,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
30,F0_lag_1,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
31,F0_diff_1,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_or_missing_base,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",difference transform of local interaction energy,inherits base signal,signed difference; range inherited pairwise from base,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
33,F0_lag_3,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 3 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
34,F0_lag_5,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 5 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
35,F0_lag_8,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 8 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
37,F0_roll_max_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_max transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
38,F0_roll_std_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,first_two_valid_track_observations,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_std transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
39,F0_roll_sum_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_sum transform of local interaction energy,inherits base signal,sum of up to 10 causal base values,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
47,F1_roll_max_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_max transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
48,F1_roll_std_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,first_two_valid_track_observations,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_std transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
70,F6_lag_1,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of nearby-track speed,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
72,F6_lag_3,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 3 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of nearby-track speed,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
73,F6_lag_5,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 5 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of nearby-track speed,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
74,F6_lag_8,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 8 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of nearby-track speed,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
75,F6_roll_mean_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_mean transform of nearby-track speed,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
76,F6_roll_max_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_max transform of nearby-track speed,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
77,F6_roll_std_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,first_two_valid_track_observations,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_std transform of nearby-track speed,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
78,F6_roll_sum_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_sum transform of nearby-track speed,inherits base signal,sum of up to 10 causal base values,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
79,F7_lag_1,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of velocity-direction similarity,inherits base signal,"[-1,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
82,F7_lag_5,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 5 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of velocity-direction similarity,inherits base signal,"[-1,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
83,F7_lag_8,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 8 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of velocity-direction similarity,inherits base signal,"[-1,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
84,F7_roll_mean_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_mean transform of velocity-direction similarity,inherits base signal,"[-1,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
85,F7_roll_max_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_max transform of velocity-direction similarity,inherits base signal,"[-1,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
86,F7_roll_std_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,first_two_valid_track_observations,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_std transform of velocity-direction similarity,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
93,F10_lag_8,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 8 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of trajectory curvature,inherits base signal,"[0,2]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
96,F10_roll_std_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,first_two_valid_track_observations,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_std transform of trajectory curvature,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
102,F11_lag_5,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 5 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of aspect-ratio change,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
104,F11_roll_mean_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_mean transform of aspect-ratio change,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
105,F11_roll_max_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_max transform of aspect-ratio change,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
107,F11_roll_sum_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_sum transform of aspect-ratio change,inherits base signal,sum of up to 10 causal base values,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
127,bbox_center_jitter_roll_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_mean transform of box-center jitter,inherits base signal,documented_current_range,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
128,bbox_scale_jitter_roll_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_mean transform of box-scale jitter,inherits base signal,documented_current_range,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
129,bbox_aspect_jitter_roll_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_mean transform of box-aspect jitter,inherits base signal,documented_current_range,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
