position,feature,paper_feature_family,unary_or_pairwise,raw_or_temporal_summary,causal_status,required_track_history,validity_or_missingness_field,included_full_132,included_reduced_52,selection_rationale,meaning,normalization,expected_range,status,implementation_source,implementation_source_sha256
26,bbox_aspect_jitter,shape variation,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",absolute log current-to-previous aspect ratio,absolute log ratio,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
27,track_fragment_risk,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,weighted cold-start gap center-jitter and scale-jitter flags,clip weighted sum,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
28,valid_physics_mask,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,age quality perspective and fragmentation conjunction,binary,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
29,frame_gap,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,causal difference between consecutive tracker step indices,count,documented_current_range,active,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
30,F0_lag_1,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
31,F0_diff_1,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_or_missing_base,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",difference transform of local interaction energy,inherits base signal,signed difference; range inherited pairwise from base,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
32,F0_lag_2,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 2 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
33,F0_lag_3,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 3 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
34,F0_lag_5,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 5 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
35,F0_lag_8,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 8 prior 5-Hz samples,prefix_and_track_gap,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",lag transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
36,F0_roll_mean_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_mean transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
37,F0_roll_max_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_max transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
38,F0_roll_std_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,first_two_valid_track_observations,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_std transform of local interaction energy,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
39,F0_roll_sum_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_sum transform of local interaction energy,inherits base signal,sum of up to 10 causal base values,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
40,F1_lag_1,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
41,F1_diff_1,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_or_missing_base,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,difference transform of recent acceleration,inherits base signal,signed difference; range inherited pairwise from base,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
42,F1_lag_2,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 2 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
43,F1_lag_3,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 3 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
44,F1_lag_5,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 5 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
45,F1_lag_8,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 8 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
46,F1_roll_mean_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_mean transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
47,F1_roll_max_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_max transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
48,F1_roll_std_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,first_two_valid_track_observations,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",rolling_std transform of recent acceleration,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
49,F1_roll_sum_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_sum transform of recent acceleration,inherits base signal,sum of up to 10 causal base values,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
50,F2_lag_1,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of speed-drop ratio,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
51,F2_diff_1,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_or_missing_base,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,difference transform of speed-drop ratio,inherits base signal,signed difference; range inherited pairwise from base,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
52,F2_lag_2,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 2 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of speed-drop ratio,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
53,F2_lag_3,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 3 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of speed-drop ratio,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
54,F2_lag_5,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 5 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of speed-drop ratio,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
55,F2_lag_8,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 8 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of speed-drop ratio,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
56,F2_roll_mean_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_mean transform of speed-drop ratio,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
57,F2_roll_max_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_max transform of speed-drop ratio,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
58,F2_roll_std_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,first_two_valid_track_observations,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_std transform of speed-drop ratio,inherits base signal,"[0,inf)",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
59,F2_roll_sum_10,temporal summaries,unary,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_sum transform of speed-drop ratio,inherits base signal,sum of up to 10 causal base values,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
60,F5_lag_1,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of nearby-track IoU/contact,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
61,F5_diff_1,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 1 prior 5-Hz samples,prefix_or_missing_base,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,difference transform of nearby-track IoU/contact,inherits base signal,signed difference; range inherited pairwise from base,active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
62,F5_lag_2,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 2 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of nearby-track IoU/contact,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
63,F5_lag_3,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 3 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of nearby-track IoU/contact,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
64,F5_lag_5,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 5 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of nearby-track IoU/contact,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
65,F5_lag_8,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 8 prior 5-Hz samples,prefix_and_track_gap,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,lag transform of nearby-track IoU/contact,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
66,F5_roll_mean_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_mean transform of nearby-track IoU/contact,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
67,F5_roll_max_10,temporal summaries,pair-context,temporal_summary,causal/trailing-only,current plus up to 9 prior 5-Hz samples,inherits base missingness only when causal prefix has no valid value,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,rolling_max transform of nearby-track IoU/contact,inherits base signal,"[0,1]",active_temporal_transform,phase3_features_v10safe.py:build_temporal_features:74,5dc602c4b4d1ced1369e7a071ec8b85b43ec6bc7349ce20255b2ded896e0f4b3
