field,value,status,evidence,source_path,source_sha256
tracker,BoxMOT BoT-SORT,VERIFIED,frozen implementation,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_57a_upstream_architecture_audit/frozen_lineage.json,3bcdbde6eae832ed77e32a63a7b2ccd9a9035846db01f62a42cb65ff245b5433
tracker_configuration,"track_high=0.18, track_low=0.05, new_track=0.22, buffer=30; match=0.8, proximity=0.5, appearance=0.25",VERIFIED,frozen wrapper plus constructor lineage,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/tracker_lineage.json,93cf18f44b4be74c47fa6949355025832df120f005f9063db1f48782e1953083
camera_motion_compensation,ECC,VERIFIED,cmc_method=ecc,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/tracker_lineage.json,93cf18f44b4be74c47fa6949355025832df120f005f9063db1f48782e1953083
reid_enabled,true,VERIFIED,BoT-SORT with current-detection-crop ReID,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/reid_lineage.json,ecc880df57a7381b6b54fc2a37c03eb8fd875c82e62489a777790eb65cff144c
reid_architecture,"ResNet50-IBN-a backbone, GeM pooling, 2048-to-512 projection, batch normalization, L2 normalization",VERIFIED,frozen executable and state-dict topology,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/model_lineage.json,2adfac564d667636489782bd25a5cea3ea75845a07a1e395cd9a6d8975a73e8f
reid_checkpoint,reid_noleak_v9_bs192_noblur/reid_best_topology.pth,VERIFIED,frozen runtime path,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/reid_lineage.json,ecc880df57a7381b6b54fc2a37c03eb8fd875c82e62489a777790eb65cff144c
reid_checkpoint_sha256,d0740e539c7836ad82ecffadd815ef9b4c58da06aa2c3a28420cce422d2a49ce,VERIFIED,recomputed,/ssd1/team_cam_ai/ttdat/reid_noleak_v9_bs192_noblur/reid_best_topology.pth,d0740e539c7836ad82ecffadd815ef9b4c58da06aa2c3a28420cce422d2a49ce
reid_embedding_dimension,512,VERIFIED,projection and exported embedding schema,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/model_lineage.json,2adfac564d667636489782bd25a5cea3ea75845a07a1e395cd9a6d8975a73e8f
reid_crop,92 x 92 current detection crop; BGR-to-RGB; ImageNet normalization,VERIFIED,frozen ReID lineage,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/reid_lineage.json,ecc880df57a7381b6b54fc2a37c03eb8fd875c82e62489a777790eb65cff144c
reid_training_datasets,not encoded in the checkpoint or frozen executable contract,NOT_FOUND,no recoverable training-data metadata,/ssd1/team_cam_ai/ttdat/reid_noleak_v9_bs192_noblur/reid_best_topology.pth,d0740e539c7836ad82ecffadd815ef9b4c58da06aa2c3a28420cce422d2a49ce
analysis_rate,5 Hz causal grid,VERIFIED,frozen upstream protocol,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/experiment_spec.json,51741fb9a4406839daa3cd0dc06b6330872a653c97bd8512c73d537467ea5fcc
low_fps_behavior,SO-TAD replay fails closed when source FPS is below 5 Hz; it does not interpolate future frames,VERIFIED,frozen replay contract,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_59a_aaai_causal_upstream_pilot/causal_upstream_protocol.json,0bc330109abcf2c72fcad3300e307cc08c0cbd7a59a571eceab7b42acb47c68b
